nombre;texto
0023;articuloprimero crease el club de lectura dependiente de la biblioteca publica del municipio articulosegundo este club estara destinado a la poblacion infantojuvenil del municipio articulotercero los ingresos que provengan de las cuotas de los socios del club se destinaran a incrementar el stock de libros de la biblioteca articulocuarto para el debido funcionamiento de este club la municipalidad designara un asesor adhoc articuloquinto los gastos que demande el cumplimiento de la presente ordenanza se atenderan con fondos provenientes de las multas a infracciones a la higiene publica infraccion a la ordenanza de ruidos molestos e infraccion a la ordenanza que prohibe la cria de animales dentro del municipio articulosexto autoricese para el cobro de la cuota del grupo familiar la suma de a 10 00 pesos argentinos diez pesos mensuales articuloseptimo comuniquese copiese y archivese
0025;articuloprimero crease el mercado dominical de yerba buena que funcionara segun lo establezcan la presente ordenanza y su reglamentacion articulosegundo este mercado funcionara los domingos en horario continuado de 9hs a 20hs en verano y de 10hs a 18hs en invierno en el lugar que la municipalidad considere conveniente articulotercero los rubros que comprendera este mercado seran los siguientes obras de arte artesanias antigedades plantas y flores libros y revistas productos regionales compraventa de libros usados compraventa y canjes de textos compraventa y canje de objetos varios numismatica y filatelia recepcion de libros usados para ulteriores donaciones a entidades de bien publico kiosco de bebidas frias yo calientes helados y sandwich a cargo de entidades sin fines de lucro espectaculos a cargo de conjuntos vocales articulocuarto la municipalidad mediante el concurso de sus tecnicos delineara los modulos a los cuales debera ajustarse este mercado articuloquinto la municipalidad establecera el reglamento al cual debera ajustarse el funcionamiento de este mercado articulosexto la municipalidad llamara a concurso publico de interesados para locacion de los diferentes stands articuloseptimo los contratos de locacion seran por tres meses como minimo articulooctavo la explotacion de estos locales estara libre de impuestos municipales articulonoveno la municipalidad gestionara ante los organismos respectivos la eximicion de impuestos provinciales y nacionales para este mercado articulodecimo la municipalidad organizara una activa campaña publicitaria para la difusion de este mercado articulodecimoprimero los gastos que demande la campaña publicitaria se atenderan con el item correspondiente a publicidad del presupuesto municipal articulodecimosegundo comuniquese copiese y archivese
0027;articuloprimero establecerse un regimen especial de pago por esta unica vez como forma excepcional del pavimento en av salas y valdez desde el camino del peru a calle juan b teran articulosegundo el siguiente regimen se aplicara de la siguiente forma monto de la deuda mas 50 de la actualizacion por pago adelantado una bonificacion de un 30 mas sobre actualizacion si paga de contado 80 de descuento sobre actualizacion si paga en cuota 25 de anticipo y el saldo en cuatro cuotas iguales y consecutivas a las que se les adicionara un 3 mensual de interes articulotercero comuniquese copiese archivese
0028;articuloprimero facultase al departamento ejecutivo implante la recoleccion de residuos en nuestro municipio en horario de 18hs a 24hs articulosegundo asi mismo los vehiculos afectados a la recoleccion de residuos en el horario matutino se afectaran para el enripiado de las calles del municipio articulotercero comuniquese copiese archivese
0035;articuloprimero facultase al departamento ejecutivo para que proceda todos los años a publicitar e invitar por los medios de informacion a los interesados en participar en el canje yo compraventa de textos y libros usados articulosegundo el departamento ejecutivo fijara e instalara los puestos como asimismo tendra a su cargo la fijacion de horario y fiscalizacion para resguardar el orden y llevar adelante tan noble fin articulotercero eximase de todo gravamenes a quienes concurran a tan loable acto siempre y cuando no configure o se detecte actividad comercial articulocuarto comuniquese copiese archivese
0030;articuloprimero facultase al departamento ejecutivo municipal a encarar la realizacion de la obra red de distribucion de gas natural para yerba buena que se llevara a cabo con fondos provenientes de colaboracion vecinal fondos municipales aportes no reintegrables provenientes del gobierno provincial aporte no reintegrables provenientes del gobierno nacional articulosegundo la parte de la obra encarada por colaboracion vecinal se hara segun lo estipulado por la ordenanza n 102 del 061181 y la reglamentacion que oportunamente se dicte articulotercero comuniquese copiese archivese
0038;articuloprimero facultase al departamento ejecutivo para que todas las operaciones de compra que debe efectuar solicite el concurso del comercio local y en caso de igualdad de condiciones y calidad sobre las compras directas yo licitaciones privadas se de preferencia a este ajustandose siempre a las disposiciones establecidas en la ordenanza de contrataciones articulosegundo facultase al departamento ejecutivo para que todo el personal que necesite contratar sea llamado a concurso de antecedentes en los casos que lo requiera y se hara extensivo a las distintas figuras de contrataciones de personal que no sean afectados a planta permanente y se de preferencia en la contratacion a los radicados en el radio municipal articulotercero comuniquese copiese y archivese
0043;articuloprimero facultase al departamento ejecutivo para realizar una campaña de informacion a la poblacion a fin de concientizar a la misma sobre las ventajas del cultivo de la huerta familiar y organizar charlas y dar asesoramiento para lograr un mejor rendimiento articulosegundo a fin de incentivar el cultivo de la huerta familiar se organizaran concursos y se otorgaran premios a las mejores presentadas quedando entendido que no podran participar en los mencionados concursos aquellos propietarios de huerta con fines de lucro articulotercero los premios a otorgar consistiran en donaciones de los organismos provinciales y comercio de la zona estos concursos se haran semestralmente articulocuarto comuniquese copiese y archivese
0041;articuloprimero con la denominacion de instituto infantil changuitos crease en el municipio una guarderia y jardin de infantes que funcionara como dependencia de la direccion de cultura articulosegundo el departamento ejecutivo debera en un termino no mayor de 30 treinta dias disponer lo necesario para la instalacion y funcionamiento del instituto a tal efecto queda facultado para efectuar las designaciones del personal docente de secretaria de servicios profesionales de un medico pediatra y un dentista mediante concurso de antecedentes y oposicion y realizar las compras necesarias de material didactico muebles utiles demas enseres que resulten necesarios podra igualmente acepta la propuesta de locacion del inmueble ubicado en avda aconquija 1914 efectuada por su propietaria en favor de la municipalidad con destino al funcionamiento de la guarderia y jardin articulotercero sin perjuicio de lo dispuesto en la ultima parte del articulo anterior el departamento ejecutivo podra acepta cualquier otra propuesta si resultare mas ventajosa por la ubicacion y condiciones del inmueble y el precio a que se ofrezca previo acuerdo del honorable concejo deliberante articulocuarto las remuneraciones de personal seran las mismas que abone el gobierno de la provincia por identicas tareas y la dotacion sera la necesaria para la atencion de niños inscriptos articuloquinto los aranceles que deberan abonar los usuarios del servicio seran fijados por el departamento ejecutivo a propuesta de la comision cooperadora que por la presente ordenanza se crea articulosexto en el instituto changuitos funcionara una comision cooperadora honoraria que estara integrada por padres o tutores y personal docente de acuerdo a las necesidades que los mismos determinen y seran elegidos para el cargo en forma anual y estara encargada de administrar los fondos provenientes de los aranceles donaciones subsidios y cualquier otro ingreso que se perciba por el instituto todas las sumas percibidas por la comision seran depositadas a su nombre en las instituciones oficiales de credito con preferencia en la que mantenga agencias o sucursales en la ciudad de yerba buena a la orden conjunta de la direccion del instituto y de uno de los miembros de la comision representante de los usuarios articuloseptimo los fondos a que se refiere el articulo anterior solo podran ser empleados en los gastos que demande la provision de material didactico util uniforme ampliacion y refaccion de las instalaciones y becas el presupuesto de gastos anuales sera confeccionado por la comision cooperadora y aprobado por el departamento ejecutivo articulooctavo comuniquese copiese y archivese
0033;articuloprimero expropiese los inmuebles comprendidos en la nomenclatura catastral n f 3843901890 desde calle fermin cariola hacia el oeste para encontrarse con la via vieja del ex f c g s en todo lo necesario y en un ancho de 10 00mts coincidiendo con la extension de calle fermin cariola articulosegundo ordenar al organismo pertinente del departamento ejecutivo a realizar los planos correspondientes a la presente ordenanza de expropiacion articulotercero documentar las donaciones efectuadas por los condominios articulocuarto ordenar al departamento ejecutivo para que efectue la tasacion a fin de su oportuno deposito para los condominios que no efectuan donaciones articuloquinto arbitrese las medidas necesarias para dar albergue a las familias afectadas que se encuentran habitando actualmente en el terreno fiscal que estaria dentro del plano de conexion entre calle fermin cariola con el pasaje zamora articulosexto comuniquese copiese archivese
0040;articuloprimero se dispone la instalacion de recipientes colectores de residuos en las zonas de mayor afluencia de publico articulosegundo los recipientes en cuestion podrian ser solicitados a embotelladoras de gaseosas cervecerias e entidades financieras estatales o privadas articulotercero los recipientes deberan ser volcados en camiones recolectores de residuos articulocuarto comuniquese copiese y archivese
0036;articuloprimero facultase al departamento ejecutivo a abrir un registro de mano de obra disponible que cubrira las necesidades de los pobladores de la zona como ser jardineros albañiles plomeros empleados domesticos etc articulosegundo el departamento ejecutivo debera implementar un sistema de contratacion y tener en cuenta el grado de responsabilidad que pudiera caber al mismo en el sentido que aparentemente pueda garantizar en la prestacion de servicios articulotercero los interesados deberan inscribirse en la municipalidad articulocuarto una vez confeccionado el registro de postulantes por oficios la municipalidad debera hacer conocer a la poblacion la existencia de una bolsa de trabajo por los medios que estime conveniente articuloquinto comuniquese copiese y archivese
0044;articuloprimero facultase al departamento ejecutivo a realizar semestralmente concursos de jardines donde participaran toda la poblacion interesada en embellecer nuestra ciudad articulosegundo a fin de promover los mismos se otorgaran premios a los mejores jardines estos premios consistiran en donaciones de los organismos provinciales y comercios de la zona articulotercero comuniquese copiese y archivese
0058;articuloprimero facultase al departamento ejecutivo a llamar a licitacion publica para la explotacion de aridos del rio muerto u otra cualquier fuente productiva de aridos articulosegundo estas explotaciones deberan hacerse conformes a las reglamentaciones vigentes articulotercero comuniquese copiese archivese
0046;articuloprimero crease el registro de grandes contribuyentes de las contribuciones que inciden sobre la actividad comercial industrial yo de servicios con los sujetos pasivos incluidos en la nomina adjunta que forma parte de la presente ordenanza la direccion de renta municipal esta facultada para incorporar a su criterio nuevos contribuyentes a la lista adjunta articulosegundo los sujetos pasivos que queden clasificados como grandes contribuyentes de acuerdo a los articulos 1 5 y concordantes de esta ordenanza mantendran tal caracter independiente del monto que surja de sus determinaciones mensuales posteriores a su inclusion salvo expresa disposicion de la direccion de rentas articulotercero los grandes contribuyentes declararan las contribuciones en forma mensual e ingresaran la posicion correspondiente dentro del mes inmediato siguiente al periodo vencido en la forma y fecha que la direccion de rentas establezca a tal efecto en el calendario impositivo articulocuarto las disposiciones de la presente ordenanza se aplicaran a las contribuciones que correspondan desde el mes de abril de 1984 en adelante las contribuciones correspondientes al primer trimestre de 1984 ingresaran normalmente a la fecha que la direccion de rentas establezca para dicho periodo en el calendario impositivo del año en curso articuloquinto quedaran incluidos en la nomina de grandes contribuyentes los sujetos pasivos que de sus determinaciones trimestrales mas la actualizacion e interes por mora cuando correspondiere superen el importe que fije la direccion de rentas en forma mensual a partir del mes de mayo del corriente año articulosexto fijase en a 3000 tres mil argentinos el monto previsto en el articulo anterior para el mes de abril de 1984 articuloseptimo los sujetos pasivos que no den cumplimiento a la presente ordenanza seran pasibles de las sanciones previstas en el codigo tributario municipal y en la ordenanza fiscal anual articulooctavo comuniquese copiese y archivese
0054;articuloprimero aclarase que el termino del inciso d articulo primero de la ordenanza n 2084 debe leerse gastos de presidencia de bloque y no gastos presidente de bloque articulosegundo aclarase que los gastos de bloques politicos gastos de servicios asistenciales y gastos de presidencia de bloques no son gastos personales de los señores concejales sino gastos correspondientes al organo mismo articulotercero los mencionados gastos especificados en los articulos anteriores rendiran cuenta en forma trimestral articulocuarto comuniquese copiese archivese
0053;articuloprimero modificase los articulos tercero cuarto quinto sexto septimo y octavo del titulo i competencia del regimen de contrataciones para la municipalidad y h concejo deliberante de yerba buena establecido en la ordenanza n 59 del 13 de febrero de 1981 las que quedaran redactadas de la siguiente manera titulo i competencia articulotercero las contrataciones cuyo valor estimado exceden de 75 000 setenta y cinco mil pesos argentinos se efectuaran mediante licitaciones publicas autorizada y aprobada por el departamento ejecutivo mediante decreto articulocuarto podra contratarse ademas por licitacion privada cuando al monto en la contratacion sea 25 000 veinticinco mil pesos argentinos hasta 50000 cincuenta mil pesos argentinos autorizada y aprobada por el secretario de hacienda mediante resolucion de 50001 cincuenta mil un pesos argentinos hasta 75000 setenta y cinco mil pesos argentinos autorizada por el secretario de hacienda mediante resolucion y aprobada por el departamento ejecutivo mediante decreto concurso de precios cuando el monto estimado de la contratacion sea de 8501 ocho mil quinientos uno pesos argentinos hasta 24999 veinticuatro mil novecientos noventa y nueve pesos argentinos autorizados y aprobados por el secretario de hacienda mediante resolucion compra directa podra contratarse directamente cuando el monto de la operacion no exceda de 8500 ocho mil quinientos pesos argentinos ajustandose a lo siguiente hasta 4600 cuatro mil seiscientos pesos argentinos autorizada y aprobada directamente por el contador general de 4601 cuatro mil seiscientos uno pesos argentinos hasta 6500 seis mil quinientos pesos argentinos autorizada por el contador general y aprobada por el secretario de hacienda mediante resolucion de 6501 seis mil quinientos uno pesos argentinos hasta 8500 ocho mil quinientos pesos argentinos autorizada y aprobada por el secretario de hacienda mediante resolucion articuloquinto no obstante lo dispuesto por el articulo anterior podra asimismo contratarse en forma directa por razones de urgencia o emergencia imprevisible y unicamente por el mismo indispensable hasta tanto se proceda al llamado o licitacion todo esto siempre que se acredite fehacientemente el estado de necesidad y urgencia invocada cuando realizada una licitacion no hubiere propuestas o las habidas no fueren convenientes la contratacion directa demostrara exhaustivamente la conveniencia de la adjudicacion propiciada la adquisicion o locacion de bienes y servicios cuya produccion sea exclusiva de quienes tengan privilegio para ello o que solo posea una persona o entidad y no hubiere sustitutos convenientes la contratacion de artistas tecnicos cientificos o sus obras cuando las circunstancias exijan que las operaciones del gobierno se mantengan en secreto cuando existiere escases notaria demarcado y siempre que se acredite fehacientemente tal situacion todas estas adquisiciones se haran por el minimo indispensable entre reparticiones publicas nacionales provinciales y municipales o sociedades en las que tenga participacion el estado o empresas del estado la publicidad oficial las compras o locacion que deben realizarse en paises extranjeros siempre que no resulte posible o conveniente realizar en ellos licitaciones la compra en remate publico previa fijacion del precio maximo a abonar en la operacion para la adquisicion de inmuebles se requerira la tasacion de ellos por la comision de tasaciones de la provincia este justiprecio determinara el valor maximo a ofrecer en el remate o a pagar en la compra dicho valor maximo solo podra ser superado por razones de conveniencia del servicio circunstancia esta que debera ser justificada con amplitud por la autoridad competente la reparacion de vehiculos y motores dicha excepcion solo procedera cuando resulte indispensable el desarme total o parcial de vehiculos o motor para determinar las reparaciones necesarias a efectuarse la adquisicion de materiales con destino a obras publicas realizadas por administracion siempre y cuando los mismos sean adquiridos directamente en las plantas canteras etc cuando las condiciones economicas emperantes en tal circunstancia le aconsejen y justifiquen dicha circunstancia sera fehacientemente demostrada la compra de combustibles lubricantes y derivados del petroleo a los precios oficiales y a las condiciones de venta mas ventajosas a los intereses municipales los causales de excepcion procedentemente señalados seran debidamente fundadas y en cada caso el funcionario que la invoque sera responsable de su existencia y procedencia articulosexto las contrataciones que se realicen al amparo del articulo anterior deberan justificarse a las siguientes disposiciones de 8501 ocho mil quinientos uno pesos argentinos a 50 000 cincuenta mil pesos argentinos autorizadas por el secretario de hacienda mediante resolucion y aprobada por el departamento ejecutivo mediante decreto de 50001 cincuenta mil y uno pesos argentinos en mas autorizadas y aprobadas por el departamento ejecutivo mediante decreto articuloseptimo los montos consignados en los articulos 30 40 50 y 60 de la presente ordenanza tendra validez para el trimestre abriljunio de 1984 y deberan actualizarse en base al incremento del nivel general del indice de precios al consumidor de bienes y servicios de san miguel de tucuman experimentado en el trimestre anterior y suministrado por la direccion provincial de estadisticas previa sancion de este h concejo deliberante para su aplicacion articulooctavo el señor secretario de este h concejo deliberante de yerba buena autorizara y aprobara las compras y demas contrataciones segun lo estipulado en el articulo 40 inciso c puntos 1 2 y 3 de la presente ordenanza articulosegundo comuniquese copiese archivese
0059;articuloprimero facultese al departamento ejecutivo para que inicie las gestiones correspondientes para la apertura de calle jupiter 1ra cuadra articulosegundo comuniquese copiese y archivese
0060;articuloprimero facultase al departamento ejecutivo para que por intermedio de las oficinas correspondientes se aboquen al estudio y planificacion a fin de instalar una plaza o plazoleta en el predio consignado en el considerando y que se denominara con el nombre de democracia articulosegundo la misma sera dotada de iluminacion bancos de cementos con o sin respaldos y sus correspondientes paseos conformados en hormigon o bien de ladrillos molidos que signifique a su vez la conformacion de los espacios verdes yo canteros articulotercero la parte vegetal para la ornamentacion estara a cargo del bloque presentante del proyecto u c r articulocuarto comuniquese copiese y archivese
0063;articuloprimero crease el registro de proveedores municipales como una seccion del departamento de compras de la municipalidad articulosegundo facultese al departamento ejecutivo a disponer de medidas necesarias para organizar y poner el marcha el citado registro articulotercero sin perjuicio de las disposiciones que se fijen el registro debera llevar un legajo individual con cada firma habilitada donde se archivaran todos los antecedentes relacionados con su solicitud de inscripcion solvencia cumplimiento o no de contratos sanciones y cualquier otro dato de interes asignar un numero de matricula a cada proveedor inscripto clasificara a los proveedores por nombre y ramo de explotacion y demas especificaciones que estime necesario articulocuarto es necesario para inscribirse en el registro de proveedores municipales tener capacidad para obligarse tener fabrica comercio o actividad establecida en la provincia con autorizacion o patente que lo habilite para comerciar en los renglones que opera o es productor en el caso de representantes personas o empresas de firmas instaladas en otra provincia debera acreditar su condicion de tal con poder extendido ante escribano publico legalizado por el colegio respectivo cuando se trate de firmas establecidas en el extranjero los representantes deberan acreditar su condicion mediante certificado expedido por la embajada o consulado del pais en la republica argentina articuloquinto para su inscripcion en este registro de proveedores deberan presentar una solicitud a la secretaria de hacienda de la municipalidad acompañando la siguiente documentacion certificado extendido por la direccion de rentas de la municipalidad donde conste que el proveedor que solicita inscripcion o reinscripcion se encuentra al dia en el cumplimiento de sus obligaciones tributarias detalles de los ramos de explotacion a titulo declarativo ya los efectos de las invitaciones en licitaciones privadas o concurso de precios balance del ultimo ejercicio certificado por contador publico nacional en caso de no ser posible de la presentacion del balance general y estado demostrativo de ganancias y perdidas debera presentar estado patrimonial a la fecha firmado por contador publico nacional en ambos casos la firma del contador debera estar certificada por el colegio de graduados en ciencias economicas en caso de sociedades copia legalizada de la publicacion en el boletin oficial del contrato social o estatutos excepciones articulosexto no sera indispensable la inscripcion en el registro de proveedores municipales cuando se trate de profesionales artesanos obreros artistas y en general de todas aquellas personas que tengan estudios o conocimientos especiales en determinadas areas ciencias artes oficios a titulo personal provean servicios que requieran tal especializacion en general en la compra venta de bienes de bienes raices arrendamiento locacion de inmuebles o concesiones que efectue la municipalidad en los casos de compra directa cuando el monto de la contratacion no supere el monto establecido por el articulo 4 inc c punto 1 2 y 3 del regimen de contrataciones para la municipalidad y adoptado por el h concejo deliberante establecido por la ordenanza n 053 del 18584 modificatoria de la ordenanza n 059 del 13281 los transportistas los proveedores por las suscripciones de diarios revistas y publicaciones especializadas prohibiciones articuloseptimo no podran inscribirse en el registro de proveedores municipales las sociedades e individualmente sus componentes yo miembros del directorio segun su caso que esten sancionados de acuerdo al articulo 14 como asi tambien los conyuges de los sancionados cualquiera fuere el caracter con que pretendan inscribirse las empresas en estado de concurso preventivo quiebra o liquidacion los inhibidos y los concursados civilmente los condenados por causa criminal sin embargo el secretario de hacienda podra acordar la inscripcion si en virtud de la naturaleza de los hechos o las circunstancias en que se cometieron o el tiempo transcurrido juzgare que la condena no es incompatible con la condicion de proveedor municipal los deudores morosos de la municipalidad de yerba buena los agentes de la municipalidad de yerba buena y los funcionarios del gobierno de la provincia demas municipios provinciales y comunas y las sociedades integradas total o parcialmente por los mismos plazo de otorgamiento de la matricula articulooctavo el secretario de hacienda autorizara la inscripcion de la firma dentro de los 30 treinta dias de presentada la solicitud siempre que la misma y la documentacion complementaria exigida esten de conformidad en cuyo caso el departamento de compras procedera de inmediato a registrarlo otorgarle la matricula y extenderle el certificado con la constancia que acredite la inscripcion caducidad articulonoveno el certificado al que hace referencia el articulo anterior caducara el 31 de marzo de cada año articulodecimo las inscripciones seran renovadas anualmente siendo necesario cumplir para ello con la presentacion del ultimo balance y las modificaciones contractuales que hubiere recurso contra la denegatoria de inscripcion articulodecimoprimero si la solicitud fuere rechazada la resolucion correspondiente sera comunicada al interesado quien podra deducir contra la misma recurso de apelacion ante el intendente por intermedio del secretario de hacienda dentro de los 8 ocho dias de la notificacion si a juicio del intendente los elementos probatorios no fueren suficientes para dictar resolucion podra ordenar de oficio o a peticion del interesado la presentacion de la prueba que este estime pertinente producida la prueba se dara vista al interesado y a la secretaria de hacienda por el termino de 5 cinco dias para que presente memorial y para que aduzcan por una sola vez nuevos motivos en favor de la admision del recurso o de su rechazo la decision del intendente sera definitiva y debera dictarse si no hubiera necesidad de mas sustanciacion dentro de los treinta dias de interpuesto el recurso si se procediera segun lo previsto en el parrafo anterior dentro de los treinta dias de concluido el procedimiento tanto en uno como en otro caso si no se dictare resolucion dentro del termino indicado la secretaria de hacienda inscribira automaticamente al recurrente con caracter provisional hasta la fecha en que este sea notificado de la resolucion del intendente disposiciones varias articulodecimosegundo las reparticiones de la administracion municipal comunicaran al departamento de compras a los fines de su registro en el legajo correspondiente los incumplimientos de contrato y compromisos y demas situaciones de interes para la calificacion del proveedor afectado en sus relaciones con la municipalidad a los fines de la aplicacion de las penalidades correspondientes articulodecimotercero sera obligacion de los proveedores comunicar de inmediato todo cambio de situacion comercial que altere los datos consignados en oportunidad de su inscripcion articulodecimocuarto los apercibimientos suspensiones o inhabilitaciones en el registro de proveedores municipales afectaran a las firmas respectivas e individualmente a sus componentes y solo tendran efecto con relacion a los actos posteriores a la fecha de la sancion articulodecimoquinto las sanciones de apercibimiento suspensiones o inhabilitaciones seran aplicadas por el dpto ejecutivo con apelacion dentro de lo 15 quince dias de recibida la notificacion de la sancion articulodecimosexto modificase el inc d del articulo 119 capitulo unico titulo iv disposiciones generales del regimen de contrataciones para la municipalidad y h concejo deliberante de la ordenanza n 59 de fecha 13281 el que quedara redactado de la siguiente manera encontrarse debidamente inscripto en el caso de la municipalidad en el registro de proveedores de la misma como asi tambien de la provincia de tucuman articulodecimoseptimo comuniquese copiese y archivese
0066;articuloprimero crease el club de abuelos que funcionara tentativamente en el complejo polideportivo de barrio viajantes que proximamente realizara el dpto ejecutivo articulosegundo el club de abuelos debera contar en sus instalaciones con las siguientes dependencias sala de estar sala de entretenimiento 2 dos baños cocina pequeña sala para atencion geriatrica articulotercero el club de abuelos funcionara todos los dias a partir de las 7hs articulocuarto la sala de entretenimientos debera contar con los siguientes juegos ajedrez damas ping pong pool y toda otra actividad recreativa articuloquinto la sala de estar debera contar con una minima biblioteca articulosexto el club debera contar con un registro de abuelos y se fijara una cuota minima articuloseptimo el departamento ejecutivo debera designar un medico geriatra para la atencion de los abuelos y debera asistir tres dias a la semana articulooctavo comuniquese copiese y archivese
0068;articuloprimero se impondra a la casa de la cultura municipal el nombre de ricardo rojas articulosegundo la secretaria de gobierno y la direccion de cultura tomaran las medidas necesarias para que se cumpla el articulo 1 de esta ordenanza articulotercero comuniquese copiese y archivese
0070;articuloprimero el departamento ejecutivo procedera con el tiempo que estime prudencial antes de festejarse yo conmemorarse fechas patrias a invitar a todos los vecinos yo empresarios localizados en la ciudad para que procedan a embanderar los respectivos frentes de sus propiedades articulosegundo comuniquese copiese y archivese
0073;articuloprimero facultase al dpto ejecutivo al llamado a concurso en todo el territorio de nuestra provincia para el diseño del escudo de la municipalidad de yerba buena articulosegundo dicho concurso sera implementado por intermedio de la direccion de cultura de nuestra municipalidad articulotercero se otorgara al ganador del concurso un premio estimulo de 5000 cinco mil pesos argentinos y una mencion honorifica a otorgarse en fecha que dispondra el dpto ejecutivo articulocuarto comuniquese copiese y archivese
0069;articuloprimero autorizase al departamento ejecutivo la contratacion de los servicios profesionales de un oftalmologo y un cardiologo articulosegundo afectase los servicios del medico municipal para la atencion medica de los interesados articulotercero restablezcase el otorgamiento del carnet de manejo articulocuarto facultase al departamento ejecutivo rescindir el contrato de servicio con la municipalidad de la capital en el convenio de otorgamiento de carnet de manejo articuloquinto comuniquese copiese y archivese
